"Abbreviation","title","publisher","society","price","pages","charpp","citations","foundingyear","subs","field"
"JoMonEc","Journal of Monetary Economics","Elsevier","no",1010,1346,3174,1860,1975,186,"Macroeconomics"
"CER","China Economic Review","Elsevier","no",242,167,3619,47,1989,16,"Area Studies"
"Mt","Metroeconomica","Blackwell","no",262,386,2501,30,1949,46,"General"
"JoTEP","Journal of Transport Economics & Policy","LSE and Univ of Bath","no",133,406,3182,292,1967,95,"Specialized"
"LabEc","Labour Economics","Elsevier","no",344,609,2967,24,1864,15,"Labor"
"Ky","Kyklos","Helbing & Lichtenhahn","no",270,618,2760,254,1948,186,"General"
"JoEEM","Journal of Environmental Economics & Managment","Academic Press","no",590,636,3096,1152,1974,202,"Natural Resources"
"RJoE","Rand Journal of Economics","RAND","no",177,757,3450,1039,1970,339,"Industrial Organization"
"Ecnmt","Econometrica","Blackwell","yes",178,1482,2992,7943,1932,346,"General"
"IJoGT","International Journal of Game Theory","Springer","no",436,582,3366,382,1971,52,"Theory"
"JoMathEc","Journal of Mathematical Economics","Elsevier","no",1147,1340,2940,418,1974,79,"Theory"
"JITE","Journal of Institutional & Theoretical Economics","Mohr Siebeck","no",211,792,3402,313,1844,33,"General"
"PiRS","Papers in Regional Science","Springer","no",191,442,2925,68,1922,59,"Urban and Regional"
"AEJ","Atlantic Economic Journal","Intnl Atlantic Ec. Soc.","no",171,447,3139,44,1972,148,"General"
"ET","Economic Theory","Springer","no",899,1493,2806,264,1992,165,"Theory"
"MaDE","Managerial and Decision Econ","Wiley","no",905,292,4472,37,1980,62,"Management Science"
"JoFi","Journal of Finance","Am. Finance Assn","yes",226,2272,3036,3791,1945,799,"Finance"
"JoHeEc","Journal of Health Economics","Elsevier","no",810,828,2924,957,1982,144,"Health"
"JoPE","Journal of Population Economics","Springer","no",411,640,3264,69,1987,27,"Demography"
"HE","Health Economics","Wiley","no",575,736,4264,544,1992,29,"Health"
"JoAE","Journal of Agricultural Economics","Agric. Econ. Society","yes",96,277,4218,220,1948,43,"Agricultural Economics"
"JoRU","Journal of Financial and Quantitative Analysis","Univ Wash Press","no",95,500,3314,388,1966,394,"Finance"
"EI","Economic Inquiry","Oxford Univ Press","no",206,684,4134,684,1962,366,"General"
"RoSE","Review of Social Economy","Routledge","no",172,578,2720,66,1943,203,"General"
"MEPiTE","MOCT-MOST Economic Policy in Transitional Economics","Kluwer","no",276,520,3234,22,1860,2,"Area Studies"
"DS","Decision Sciences","Georgia State Univ","no",82,1067,3124,495,1970,322,"Management Science"
"JoPKE","Journal of Post-Keynesian Economics","M.E Sharpe","no",186,550,2360,170,1978,225,"General"
"APEL","Asian-Pacific Economic Literature","Blackwell","no",123,440,3822,21,1854,14,"General"
"JoET","Journal of Economic Theory","Academic Press","no",1400,2000,2684,2514,1969,165,"Theory"
"EL","Economics Letters","Elsevier","no",1492,1540,3315,930,1978,81,"General"
"ER","Econometric Reviews","Dekker","no",650,448,2418,85,1981,49,"Econometrics"
"RoIW","Review of Income and Wealth","Int Assn for Res in I & W","yes",130,585,3312,189,1945,120,"Public Finance"
"SEJ","Southern Economic Journal","Southern Econ. Assn","yes",97,1032,3680,646,1932,524,"General"
"GC","Growth and Change","Blackwell","no",123,302,2772,97,1969,212,"Development"
"NTJ","National Tax Journal","National Tax Assn.","no",90,785,2940,502,1948,552,"Public Finance"
"AoRS","Annals of Regional Science","Springer","no",379,580,2914,100,1967,77,"Urban and Regional"
"IO","International Organization","MIT","no",130,814,3024,69,1947,532,"Industrial Organization"
"TD","Theory and Decision","Kluwer","no",595,607,2072,237,1970,83,"Theory"
"OBoES","Oxford Bulletin of Economics & Statistics","Blackwell","no",346,545,2655,617,1939,127,"General"
"TWE","The World Economy","Blackwell","no",805,1270,2842,214,1977,101,"Development"
"RaEE","Resource and Energy Economics","Elsevier","no",448,416,3010,122,1978,33,"Natural Resources"
"QJoE","Quarterly Journal of Economics","MIT press","no",148,1467,2184,4138,1886,660,"General"
"PDR","Population & Development Review","Population Council","no",36,910,2904,445,1975,218,"Demography"
"WA","Weltwirtschaftliches Archiv / Review of World Economics","Mohr Siebeck","no",99,758,2499,150,1865,77,"General"
"JoEB","Journal of Economics & Business","Elsevier","no",392,563,3456,80,1948,291,"Business"
"JoWT","Journal of World Trade","Kluwer","no",475,1138,3088,134,1967,135,"International"
"JoEDC","Journal of Economic Dynamics & Control","Elsevier","yes",1046,1636,2945,636,1979,58,"Theory"
"RA","Risk Analysis","Kluwer","no",590,1260,4628,574,1981,98,"Insurance"
"Dm","Demography","Pop Assn America","no",85,568,6859,670,1964,413,"Demography"
"WD","World Development","Elsevier","no",1450,1145,5480,1408,1973,160,"Development"
"JoFM","Journal of Futures Markets","Wiley","no",1140,990,2460,302,1981,152,"Finance"
"AgE","Agricultural Economics","Elsevier","no",558,610,4032,87,1986,24,"Agricultural Economics"
"BJoIR","British Journal of Industrial Relations","Blackwell","no",262,663,3450,294,1963,82,"Specialized"
"US","Urban Studies","Carfax","no",742,1711,3747,508,1964,222,"Urban and Regional"
"JBES","Journal of Business & Economic Statistics","Am Stat Assn","yes",90,510,6360,988,1983,190,"Business"
"EDCC","Economic Development & Cultural Change","Univ of Chicago Press","no",128,889,2700,597,1952,515,"Development"
"JoE","Journal of Econometrics","Elsevier","no",1893,1527,2178,2479,1973,129,"Econometrics"
"JoLaE","Journal of Law and Economics","Univ of Chicago Press","no",45,850,2604,1580,1968,542,"Law and Economics"
"LH","Labor History","Carfax","no",165,515,3430,147,1960,479,"Labor"
"JoEP","Journal of Economic Psychology","Elsevier","no",395,802,2535,245,1981,61,"Interdisciplinary"
"AEL","Applied Economics Letters","Routledge","no",495,774,5610,89,1994,69,"General"
"JoRI","Journal of Risk and Insurance","Am. Risk & Ins. Assn","yes",90,720,2924,193,1964,263,"Insurance"
"JEL","Journal of Economic Literature","Am Ec Assn","yes",47,2632,3848,1530,1910,972,"General"
"EM","Economic Modelling","Elsevier","no",535,632,2880,89,1983,21,"General"
"AEP","Australian Economic Papers","Blackwell","no",115,495,3792,51,1961,61,"General"
"BP","Brookings Papers","Brookings Inst.","no",62,394,2368,67,1970,646,"Public Finance"
"FS","Finance and Stochastics","Springer","no",274,492,3060,69,1996,31,"Finance"
"MngtSc","Management Science","Inst for OR and MS","no",334,1175,4232,2022,1954,558,"Management Science"
"CJoE","Cambridge Journal of Economics","Oxford Univ Press","no",272,814,3545,351,1976,163,"General"
"AE","Applied Economics","Routledge","no",2120,1683,5445,578,1958,146,"General"
"RoE&S","Review of Economics & Statistics","MIT press","no",190,733,5600,2331,1919,523,"General"
"JoDS","Journal of Development Studies","Frank Cass","no",357,500,2604,388,1964,227,"Development"
"JoM","Journal of Macroeconomics","LSU Press","no",85,856,2562,137,1979,183,"Macroeconomics"
"IER","International Economic Review","Blackwell","no",145,969,3082,1113,1960,284,"General"
"QRoEF","Quarterly Review of Economics & Finance","Elsevier","no",317,931,3036,87,1961,323,"Finance"
"JoEMS","International Journal of Finance & Economics","Springer","no",375,351,4025,40,1868,17,"Finance"
"JoEH","Journal of Economic History","Cambridge Univ Pres","no",115,1200,4029,737,1941,643,"Economic History"
"PC","Public Choice","Kluwer","no",1000,1600,2583,871,1966,171,"Public Finance"
"SJoE","Scandinavian Journal of Economics","Blackwell","no",296,688,2666,339,1898,98,"General"
"IME","Insurance  Mathematics & Economics","Elsevier","no",835,745,4263,61,1877,15,"Insurance"
"CJE","Canadian Journal of Economics","Blackwell","yes",120,1247,2992,556,1967,305,"General"
"JoCR","Journal of Consumer Research","Univ of Chicago Press","no",90,439,5336,2762,1974,536,"Consumer Economics"
"JoHoEc","Journal of Housing Economics","Academic Press","no",235,330,2623,78,1982,27,"Specialized"
"JoREFE","Journal of Real Estate Finance and Economics","Kluwer","no",476,630,3432,162,1990,59,"Business"
"JoEF","Journal of Empirical Finance","Elsevier","no",355,607,3053,37,1845,16,"Finance"
"IRoLE","International Review of Law & Economics","Elsevier","no",392,585,3479,126,1980,71,"Law and Economics"
"JoIndEc","Journal of Industrial Economics","Blackwell","no",160,476,2684,497,1953,283,"Industrial Organization"
"AJoES","American Journal of Economics & Sociology","Blackwell","no",108,578,2331,138,1941,573,"Interdisciplinary"
"JoIntEc","Journal of International Economics","Elsevier","no",923,1299,2898,838,1971,211,"International"
"MnchSc","Manchester School","Blackwell","no",336,618,2772,140,1930,57,"General"
"EER","European Economic Review","Elsevier","yes",1154,1823,2178,1243,1969,118,"General"
"EoER","Economics of Education Review","Elsevier","no",448,471,5040,224,1982,73,"Specialized"
"JoEvEc","Journal of Evolutionary Economics","Springer","no",410,526,2989,81,1850,9,"Specialized"
"IJoF","International Journal of Forecasting","Elsevier","no",437,464,4324,249,1985,57,"Specialized"
"SCW","Social Choice & Welfare","Springer","no",474,674,2990,239,1984,37,"Public Finance"
"DPR","Development Policy Review","Blackwell","no",242,427,2731,36,1982,30,"Development"
"EcmtrT","Econometric Theory","Cambridge Univ Pres","no",280,899,2948,390,1985,65,"Econometrics"
"JoRE","Journal of Regulatory Economics","Kluwer","no",481,628,3666,98,1991,38,"Industrial Organization"
"GaEB","Games and Economic Behavior","Academic Press","no",490,1197,2460,412,1988,45,"Theory"
"JoHR","Journal of Human Resources","Univ of Wisconsin Press","no",113,837,3312,1113,1966,522,"Labor"
"JoB","Journal of Business","Univ of Chicago Press","no",74,583,2655,1083,1928,771,"Business"
"JoA&E","Journal of Accounting & Economics","Elsevier","no",710,1112,2945,406,1979,154,"Interdisciplinary"
"JoIMF","Journal of International Money and Finance","Elsevier","no",743,940,2660,427,1981,120,"International"
"CPP","Canadian Public Policy","University of Toronto Press","no",100,714,2248,75,1975,52,"Public Finance"
"EmpEc","Empirical Economics","Springer","no",464,719,3366,82,1976,24,"General"
"EHR","Economic History Review","Blackwell","no",163,846,3570,545,1947,390,"Economic History"
"REE","Real Estate Economics","MIT","no",165,749,2496,35,1973,125,"Specialized"
"JoFI","Journal of Financial Intermediation","Academic Press","no",240,420,2773,121,1991,48,"Finance"
"IEP","Information Economics and Policy","Elsevier","no",371,442,2924,50,1984,30,"Specialized"
"JoFE","Journal of Financial Economics","Elsevier","no",1339,1947,2838,2676,1974,231,"Finance"
"JoPubEc","Journal of Public Economics","Elsevier","no",1431,1880,2924,1437,1972,141,"Public Finance"
"MSS","Mathematical Social Sciences","Elsevier","no",824,697,3420,180,1981,36,"Interdisciplinary"
"JAE","Journal of Applied Econometrics","Wiley","no",870,689,3680,412,1986,81,"Econometrics"
"IJoIO","International Journal of Industrial Organization","Elsevier","no",799,1230,3124,313,1983,81,"Industrial Organization"
"RoES","Review of Economic Studies","Blackwell","no",180,761,3626,2411,1933,325,"General"
"JoSE","Journal of Socio-Economics","Elsevier","no",295,791,3024,24,1972,96,"Interdisciplinary"
"JoMCB","Journal of Money Credit & Banking","Ohio State Univ. Press","no",110,860,3168,834,1969,512,"Macroeconomics"
"EcRec","Economic Record","Ec. Society of Australia","yes",50,421,4320,188,1925,183,"General"
"JoJIE","Journal of the Japanese & International Economies","Academic Press","no",355,451,2541,119,1986,50,"Area Studies"
"DE","De Economist","Kluwer","no",223,579,2594,62,1852,25,"General"
"Om","Omega","Elsevier","no",805,780,4028,183,1973,101,"Business"
"JoEBO","Journal of Economic Behavior & Organization","Elsevier","no",1154,1380,3330,698,1980,75,"Theory"
