Title,Author,ListPrice,AmazonPrice,HardOrPaper,NumPages,Publisher,PubYear,ISBN.10,Height,Width,Thick,Weight
Strong Men Armed,Robert Leckie,17.95,12.08,P,600,DA CAPO PRESS,2010,306818876,8.2,5.5,1.6,20.8
A Confederacy of Dunces,John Kennedy Toole,15,8.44,P,405,Grove Weidenfeld,1987,802130208,8.2,5.3,0.8,11.2
Cutting for Stone,Verghese,15.95,7.97,P,667,Vintage,2010,375714367,8,5.2,1.2,17.6
The Effective Executive: The Definitive Guide to Getting the Right Things Done,Drucker,16.99,10.68,P,208,Harper Paperbacks,2006,60833459,7.8,5.3,0.6,5.6
Four Blind Mice,James Patterson,7.99,7.99,P,416,Grand Central Publishing,2003,446613266,6.8,4.2,1.1,7.2
Dispatches,Michael Herr,15,10.2,P,272,Vintage,1991,679735259,7.9,5.1,0.8,9.6
"Busting Vegas: A True Story of Monumental Excess, Sex, Love, Violence and Beating the Odds",Ben Mezrich,14.95,10.17,P,304,Harper Perennial,2006,60575123,8,5.3,0.7,5.6
Story of a Girl,Zarr,7.99,7.99,P,224,"Little, Brown",2008,316014540,8.2,5.4,0.5,4.8
Holes,Louis Sachar,18,12.24,H,272,"Farrar, Straus and Giroux",2008,374332665,8.1,5.6,0.9,12.8
The Innovator's Dilemma: The Revolutionary Book That Will Change the Way You Do Business,Christensen,17.99,9.99,P,320,Harper Paperbacks,2003,60521996,7.9,5.3,0.8,8.8
Madeline,Ludwig Bemelmans,17.99,10.58,H,54,The Viking Press,1967,670445806,12.1,9.2,0.5,17.6
A Light in the Attic,Shel Silverstein,18.99,11.58,H,192,HarperCollins,2009,61905852,8.8,6.8,1,25.6
Lost in Shangri-La,Mitchell Zuckoff,26.99,15.44,H,400,Harper,2011,61988340,9.1,6.4,1.4,22.4
Water for Elephants: A Novel,Gruen,14.95,8.14,P,350,Algonquin Books,2007,1565125606,8.2,5.4,1,12.8
People of the Book,Geraldine Brooks,15,8.24,P,372,Penguin (Non-classics),2008,143115006,7.8,5.1,0.7,10.4
Sleep for Success: Everything You Must Know About Sleep but Are too Tired to Ask,James B. Maas,24,16.32,H,242,Author Solutions,2010,1452037760,9.1,6.1,1.1,17.6
"To End All Wars: A Story of Loyalty and Rebellion, 1914-1918",Adam Hochschild,28,16.08,H,480,Houghton Mifflin Harcourt,2011,618758283,9.1,6.2,1.7,25.6
The Giving Tree,Shel Silverstein,18.99,11.16,H,64,HarperCollins,2004,60586753,10.3,7.9,0.5,16
Thank You Notes,Jimmy Fallon,12,7.51,P,176,Grand Central Publishing,2011,892967412,5.2,7.2,0.5,7.8
the airmen and the headhunters,Judith M. Heimann,15,10.2,P,304,Mariner Books,2009,156033259,8.1,5.4,0.9,10.4
A Year with C. S. Lewis: Daily Readings from His Classic Works,Lewis,22.99,15.63,H,416,HarperOne,2003,60566167,7.5,5.7,1.4,16
1421: The Year China Discovered America,Gavin Menzies,15.99,10.87,P,672,Harper Perennial,2008,61564893,8.8,6,1.6,28.8
Too Close to Call: The 36-Day Battle to Decide the 2000 Election,Jeffrey Toobin,14.95,10.75,P,320,Random House Trade Paperbacks,2002,375761071,7.9,5.2,0.8,8.8
Sex on the Moon:  The Amazing Story Behind the Most Audacious Heist in History,Ben Mezrich,26.95,17.73,H,320,DoubleDay,2011,385533926,9.4,6.4,1.3,20.8
Born To Run,Mcdougall,24.95,15.82,H,304,Knopf,2009,307266303,9.5,6.6,1.1,24
Where the Sidewalk Ends,Shel Silverstein,18.99,12.24,H,192,HarperCollins,2004,60572345,9.3,6.6,1.1,24
The Official Dictionary of Sarcasm: A Lexicon for Those of Us Who Are Better and Smarter Than the Rest of You,James Napoli,14.95,7.9,P,368,Sterling Innovation,2010,1402769520,6.9,6.1,1.2,26.4
Helmet for my pillow,Robert Leckie,16,9.09,P,305,Bantam Books,2010,553593315,7.9,5.1,0.9,8.8
The Cat in the Hat,Seuss,8.99,8.99,H,72,Random House Books,1957,717260593,9.3,6.8,0.4,8.5
Lies that Chelsea Handler Told Me (A Chelsea Handler Book/Borderline Amazing Publishing),Chelsea Handler,24.99,15.2,H,304,Grand Central Publishing,2011,446584711,8.8,6,1,14.4
March,Geraldine Brooks,15,8.15,P,304,Penguin (Non-classics),2006,143036661,7.8,5.2,0.6,8
"Enchantment: The Art of Changing Hearts, Minds, and Actions",Kawasaki,26.95,14.99,H,211,Portfolio Hardcover,2011,1591843790,8.3,5.5,1,8
The God Delusion,Richard Dawkins,16.95,9.16,P,464,Mariner Books,2008,618918248,8.1,5.6,1.4,16
The Guernsey Literary and Potato Peel Pie Society,Shaffer,15,8.05,H,290,Dial Press,2009,385341008,7.8,5.4,0.7,8
Pride and Prejudice (Dover Thrift Editions),Austin,7.95,7.95,H,272,Dover Publications,1995,486284735,8.2,5.2,0.7,7.2
Appeals in Modern Rhetoric: An Ordinary Language Approach,M. Jimmie Killingsworth,29.5,26.61,P,192,Southern Illinois University Press,2005,809326639,8.9,6,0.5,9.6
"Absalom, Absalom! (The Corrected Text(",William Faulker,15,10.2,P,313,Vintage,1991,679732187,8.1,5.2,0.7,7.2
Innovation Killers: How Financial Tools Destroy Your Capacity to Do New Things,Christensen,8.95,8.95,P,64,Harvard Business Press,2010,1422136558,6.3,4.2,0.2,2.4
Misery,Stephen King,7.99,7.99,P,352,Signet,2004,451169522,6.9,4.2,1,6.9
Kabul Beauty School: An American Woman Goes Behind the Veil,Deborah Rodriguez,14.95,10.17,P,320,Random House Trade Paperbacks,2007,812976738,7.9,5.4,0.9,7.2
Given up for dead,Bill Sloan,6.99,6.99,P,560,BANTAM,2008,553585673,6.7,4.1,0.9,9.6
The Bookseller of Kabul,Seierstad,13.99,10.68,P,288,Back Bay Books,2004,316159417,5.5,8.2,0.9,10.4
The Loser: A Novel,Thomas Bernhard,14,11.2,P,208,Vintage,1996,1400077540,7.9,5.2,0.6,5.6
The Forest of Hands and Teeth,"Ryan, Carrie",9.99,9.99,P,336,Delacorte Books for Young Readers,2010,385736827,7.9,5.5,0.7,8.5
Caddie Woodlawn,Carol Ryrie Brink,6.69,6.99,P,288,Aladdin,2006,1416940286,7.6,5.2,0.8,4.8
Population Decline and Aging in Japan,Florian Coulmas,35.95,35.95,P,176,Routledge,2007,415480116,9.1,6.1,0.5,9.9
Pale Fire,Vladimir Nabokov,15,10.2,P,224,Lancer Books,1989,679723420,8,5.3,0.7,8
The Odyssey,Robert Fagles,17,10.47,P,560,Penguin Classics,1999,140268863,8.4,5.8,1.5,1.3
The Secret Garden,Frances Hodgson Burnett,3.95,3.95,P,288,Signet Classics,2003,451528832,6.7,4.1,1,5.6
Official Book Club Selection: A Memoir According to Kathy Griffin,Kathy Griffin,15,10.2,P,384,Ballantine Books,2010,034551856X,7.8,5.1,0.9,9.9
Culture and Psychology,David Matsumoto,114.95,83.04,P,544,Wadsworth Publishing,2007,049509787X,9.1,7.3,0.8,28.8
The Time Traveller's Wife,Niffenegger,14.95,5.98,P,546,Harcourt,2004,015602943X,7.9,5.3,1.2,13.6
The House on Mango Street,Cisneros,11,6.4,P,110,Vintage,1991,679734775,7.9,5.1,0.5,5.6
A Hammock Beneath the Mangoes: Stories from Latin America,Thomas Colchie,20,14.6,P,448,Plume,1992,452268664,9,6,1,16
Slaughterhouse-Five,Kurt Vonnegut,15,7.89,P,288,Dial Press Trade,1999,385333846,8,5.3,0.6,9.6
The Classic Slave Narratives-paperback,Henry Gates,7.95,7.95,H,688,Signet Classics,2002,451528247,6.6,4.1,1.7,11.2
Beloved,Toni Morrison,15,10.22,P,321,Vintage,2004,1400033411,7.9,5.2,0.8,12
Blessed Are the Bored in Spirit: A Young Catholic's Search for Meaning,Mark Hart,13.99,10.54,P,129,St. Anthony Messenger Press,2006,867166770,7.9,5.1,0.2,5.6
Lord of the Flies,William Golding,9.99,9.99,P,208,Perigee Books,1959,399501487,7.2,4.2,0.6,4
100 Best-Loved Poems (Dover Thrift Editions),Smith,1.5,1.5,P,96,Dover Publications,1995,486285537,8.3,5.2,0.3,4
The Yacoubian Building,Alaa Aswany,13.99,11.19,P,255,Harper Perennial,2006,60878134,8,5.4,0.7,8
Romeo and Juliet,William Shakespeare,5.99,5.99,P,336,Simon and Schuster,2004,743477111,6.6,4.2,1,6.4
The Great Gatsby,Fitzgerald,15,8.84,P,180,Scribner,1999,743273567,7.9,5.2,0.5,4
21: Bringing Down the House - Movie Tie-In: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,15,10.2,P,273,Free Press,2008,1416564195,8.4,5.5,0.7,7.2
Full Black: A Thriller (Scot Harvath),Brad Thor,26.99,14.61,H,400,Atria,2011,141658661X,9.4,6.3,1.4,22.4
Adventures of Huckleberry Finn,Twain,7.95,7.95,H,336,Barnes & Noble Classics,2004,159308157,8.7,6.3,1.1,16
The Detox Miracle Sourcebook: Raw Foods and Herbs for Complete Cellular Regeneration,Morse,30,20,P,384,Kalindi Pres,2011,1935826190,11,9,1,32
How to Breathe Underwater,Orringer,14,11.2,P,226,Vintage,2005,1400034361,8.1,5.2,0.6,8.8
The perks of Being a Wallflower,Stephen Chbosky,14,8.22,P,213,MTV Books; origional edition,1999,671027344,7.1,5.1,0.5,7.2
Revival: The Struggle for the Survival Inside the Obama White House,Richard Wolffe,26,16.91,H,320,Crown,2010,307717410,9.3,6.3,1.3,1.2
Crossing The Chasm,Moore,17.99,11.36,P,256,Harper Paperbacks,2002,60517123,8,5.4,0.6,7.8
The Kitchen House,Grissom,16,9.52,P,384,Touchstone,2010,1439153663,8.1,5.3,0.8,12.6
The Awakening,Chopin,7.75,7.75,P,168,Simon & Brown,2011,1613820992,8.9,5.9,0.5,9.6
F My Life,Maxime Valette,15,10.2,P,288,Villard,2009,345518764,7.2,5.6,0.7,7.2
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,11.99,7.7,P,288,"Little, Brown Books for Young Readers",2009,316013692,5.5,8.2,0.8,9.6
The Grand Design,Stephen Hawking,28,16.09,H,208,Bantam,2010,553805371,9.2,6.3,0.8,19.2
No Longer at Ease,Chinua Achebe,12,9.6,P,194,Anchor,1994,385474555,8,5.4,0.7,6.4
The Hunger Games,Suzanne Collins,17.99,10.21,H,384,Scholastic Press; 1st Edition,2008,439023483,8.7,5.5,1.2,16
War Trash,Ha Jin,15.95,10.85,P,368,Vintage,2005,1400075793,7.9,5.2,0.9,10.4
Kafka On the Shore,Murakami,15.95,8.39,P,480,Vintage,2006,1400079276,8,5.4,1.1,14.4
The Tragedy of Arthur: A Novel,Phillips,26,13.7,H,384,Random House,2011,1400066476,9.1,6.1,1.3,22.4
Matched,"Condie, Ally",17.99,11.24,H,384,Dutton Juvenile,2010,525423648,9,6.4,1.4,16
Hope Leslie,Sedgwick,17,11.55,H,448,Penguin Classics,1998,140436766,7.8,5.1,0.9,11.2
Saving CeeCee Honeycut,Hoffman,15,6,P,320,Penguin,2010,143118579,7.6,5.1,0.7,8
The Sonnets and A Lovers Complaint,William Shakespeare,20,13.6,H,272,Penguin Classics,2010,141192577,8,5.7,1,13.6
Ender's Game,Orson Scott Card,6.99,6.99,P,352,Tor science Fiction,1994,812550706,6.7,4.2,1,5.6
"Curious Researcher, The (7th Edition)",Bruce Ballenger,48.2,44.32,P,384,Longman,2011,205172873,8.9,6,0.6,14.4
The Inward Morning: A Philosophical Exploration in Journal Form,Henry Bugbee,24.95,22.51,P,248,University of Georgia Press,1999,820320714,8.5,5.5,0.5,9.9
The Practice of Concern,John Traphagan,30,23.94,P,248,Carolina Academic Press,2004,89089406X,8.5,5.5,0.6,12
Mockingjay,Collins,17.99,7.98,H,400,Scholastic Press,2010,439023513,8.3,5.4,1.5,22.4
The Last Summer Of The Death Warriors,Francisco Stork,10.65,13.13,H,352,Arthur A. Levine Books; 1 edition,2010,545151333,8.3,6.4,1.2,15.2
Bossypants,Tina Fey,26.99,15.6,H,288,Reagan Arthur Books,2011,316056863,9.5,6.5,1,19.2
Cat's Cradle: A Novel,Kurt Vonnegut,26.95,20.48,H,287,Turtleback,1998,808520695,8.1,5.3,1,12.2
Room,Donoghue,14.99,8.11,P,352,Back Bay Books,2011,316098329,8.2,5.4,1,14.4
Pnin,Vladimir Nabokov,14,11.08,P,208,Vintage,1989,679723412,7.9,5.4,0.6,7.8
The Lincoln Lawyer,Michael Connelly,13.99,7.79,P,432,Grand Central Publishing,2011,1455500246,8.2,5.4,1.2,11.4
Number the Stars,Lois Lowry,16.99,11.55,H,144,Houghton Mifflin Books for Children,1989,395510600,8.1,5.8,0.6,12
Fahrenheit 451,Ray Bradbury,6.99,6.99,P,208,Ballantine Books,1987,345342968,6.9,4.1,0.7,4
The Little Book That Still Beats the Market: 1st edition,Joel Greenblatt,19.95,10.86,H,183,Wiley,2010,470624159,7.1,5.3,0.8,9.1
Why I wore lipstick,Geralyn Lucas,12.95,5.18,P,224,St Martin's Griffin,2005,031233446X,8,5.4,0.7,6.4
The Snowball: Warren Buffett and the Business of Life: Updated editionÃŠ,Alice Schroeder,20,13.6,P,832,Bantam,2009,553384619,9.2,5.9,1.5,32
Nathaniel Hawthorne's Tales,Hawthorne,13.83,13.83,H,480,W. W. Norton & Co.,1987,393954269,8.5,5.2,1,17.6
A Midsummer Night's dream No Fear Shakespeare,Sparksnotes Editors,5.95,3.99,P,192,Sparks Notes,2003,1586638483,7.4,5.2,0.5,8.8
A Small Place,Jamaica Kincaid,13,10.4,P,96,"Farrar, Straus and Giroux",2000,374527075,8,5.7,0.5,4
Rules For Revolutionaries: The Capitalist Manifesto for Creating and Marketing New Products and Services,Kawasaki,16,12.47,P,224,Harper Paperbacks,2000,88730995,8.2,5.3,0.6,6.4
Jitterbug Perfume,Tom Robbins,15,10.2,P,352,Bantam,1990,553348981,8.3,5.2,0.8,9.6
"Worlds Together, Worlds Apart: A History of the World: From 1000 CE to the Present",Robert Tignor,97.5,97.5,P,480,W. W. Norton & Company,2010,393934942,10.7,8.9,0.9,14.4
The Tenth Circle,Jodi Picoult,16,10.11,P,416,Washington Square Press,2006,074349671X,8.2,5.2,1.2,13.6
Sarah's Key,Tatiana de Rosnay,13.95,8.07,P,320,St. Martin's Griffin,2008,312370849,8.2,5.4,0.9,11.2
The Immortal Life of Henrietta Lacks,Rebecca Skloot,16,8,P,400,Broadway,2011,1400052181,8,5.2,1.2,16
Reflections on the Psalms,Lewis,13,9.64,P,168,Mariner Books,1964,15676248,8,5.3,0.4,5.6
Middlemarch (Penguin Hardback Classics),Eliot,20,12.17,H,880,Penguin Classics Hardcover,2011,141196890,7.9,5.4,2,35.2
Of Mice and Men,John Steinbeck,14,8.75,P,112,Penguin,2002,142000671,8.4,5.7,0.4,6.4
Noe Exit and Three Other Plays,Jean-Paul Sartre,14.95,10.17,P,275,Vintage,1989,679725164,7.9,5.1,0.7,7.2
East of Eden,John Steinbeck,11.5,11.5,P,601,Penguin,2002,142000655,8.5,5.8,1.6,22.4
The Crucible,Miller,13,9.28,P,152,Penguin (Non-Classics),1976,140481389,7.7,5,0.4,4
Cross,James Patterson,14.54,9.99,P,416,Grand Central Publishing,2007,446619051,7.5,4.2,1.2,9.6
Orientalism,Edward W. Said,16,10.88,P,368,Vintage,1979,039474067X,7.8,5.2,1,11.2
The Woman in White,Wilkie Collins,20,12.17,H,720,Penguin Classics,2010,141192449,7.9,5.3,1.7,28.8
"Speak, Memory: An Autobiography Revisited",Vladimir Nabokov,16,10.88,P,336,Vintage,1989,679723390,7.9,5.1,0.8,11.2
Catch-22,Jospeh Heller,24,16.32,H,624,Everyman's Library,1995,679437223,8.4,5.3,1.4,22.4
Final Harvest: Poems,Dickinson,14.99,10.19,H,352,Back Bay Books,1964,316184152,5.6,8.2,1,10.4
Andrew Carnegie,David Nasaw,20,13.6,P,896,Penguin,2007,143112449,8,5.4,1.8,22.4
Oedipus the King,E.A. Sophocles,6.95,6.95,P,92,CreateSpace,2010,1453626409,7.8,5.1,1,16
